acc,entry,HPhylomeDB|P00395,EggNOG|COG0843,HOGENOM|NA,HOVERGEN|HBG003841,KO|K02256,OMA|FHGLASM,Total
B0TNT0,B0TNT0_SHEHH,0,1,0,0,0,0,1
B0U6L7,B0U6L7_XYLFM,0,1,0,0,0,0,1
B0UDY0,B0UDY0_METS4,0,1,0,0,0,0,1
B0UF71,B0UF71_METS4,0,1,0,0,0,0,1
B0UG12,B0UG12_METS4,0,1,0,0,0,0,1
B0UJY8,B0UJY8_METS4,0,1,0,0,0,0,1
B0VM14,B0VM14_ACIBS,0,1,0,0,0,0,1
B0YIP0,B0YIP0_BRABR,0,0,0,1,0,0,1
B0YIN4,B0YIN4_AETCR,0,0,0,1,0,0,1
B0YIN5,B0YIN5_AETPU,0,0,0,1,0,0,1
B0YIN6,B0YIN6_AETPY,0,0,0,1,0,0,1
B0YIN7,B0YIN7_ALCTO,0,0,0,1,0,0,1
B0YIN8,B0YIN8_ALLAL,0,0,0,1,0,0,1
B0YIN9,B0YIN9_ALLAL,0,0,0,1,0,0,1
A9Y803,A9Y803_9SALA,0,0,0,1,0,0,1
A9Y7Y6,A9Y7Y6_9SALA,0,0,0,1,0,0,1
A9XTT4,A9XTT4_9SAUR,0,0,0,1,0,0,1
A9XTT3,A9XTT3_9SAUR,0,0,0,1,0,0,1
A9IQC7,A9IQC7_BORPD,0,1,0,0,0,0,1
A9IUL0,A9IUL0_BORPD,0,1,0,0,0,0,1
A9J6R2,A9J6R2_SALTR,0,0,0,1,0,0,1
A9JQF9,A9JQF9_BORSA,0,0,0,1,0,0,1
A9JQI2,A9JQI2_ARCGL,0,0,0,1,0,0,1
A9KG39,A9KG39_COXBN,0,1,0,0,0,0,1
A9KUX1,A9KUX1_SHEB9,0,1,0,0,0,0,1
A9KV10,A9KV10_SHEB9,0,1,0,0,0,0,1
A9L9N6,A9L9N6_ELEMC,0,0,0,1,0,0,1
A9L9P9,A9L9P9_CHIMY,0,0,0,1,0,0,1
A9L9R1,A9L9R1_CHIRA,0,0,0,1,0,0,1
A9LFU3,A9LFU3_PIG,0,0,0,1,0,0,1
A9LFW9,A9LFW9_PIG,0,0,0,1,0,0,1
A9LY67,A9LY67_9TELE,0,0,0,1,0,0,1
A9LY88,A9LY88_ACALI,0,0,0,1,0,0,1
A9IMF6,A9IMF6_BORPD,0,1,0,0,0,0,1
A9IM06,A9IM06_BART1,0,1,0,0,0,0,1
A9HXA4,A9HXA4_BORPD,0,1,0,0,0,0,1
A9BSV8,A9BSV8_DELAS,0,1,0,0,0,0,1
A9A1V9,A9A1V9_NITMS,0,1,0,0,0,0,1
A9AEK8,A9AEK8_BURM1,0,1,0,0,0,0,1
A9AHP3,A9AHP3_BURM1,0,1,0,0,0,0,1
A9ASA3,A9ASA3_BURM1,0,1,0,0,0,0,1
A9B5D2,A9B5D2_HERA2,0,1,0,0,0,0,1
A9BE63,A9BE63_PROM4,0,1,0,0,0,0,1
A9C0C3,A9C0C3_DELAS,0,1,0,0,0,0,1
A9HWK1,A9HWK1_BORPD,0,1,0,0,0,0,1
A9CKN4,A9CKN4_AGRT5,0,1,0,0,0,0,1
A9F513,A9F513_SORC5,0,1,0,0,0,0,1
A9F8S7,A9F8S7_SORC5,0,1,0,0,0,0,1
A9GYY0,A9GYY0_ACRSC,0,0,0,1,0,0,1
A9GZ28,A9GZ28_9SYLV,0,0,0,1,0,0,1
A9GZ65,A9GZ65_9SYLV,0,0,0,1,0,0,1
A9M6P8,A9M6P8_BRUC2,0,1,0,0,0,0,1
A9MM29,A9MM29_SALAR,0,1,0,0,0,0,1
A9MWY7,A9MWY7_SALPB,0,1,0,0,0,0,1
A9XN72,A9XN72_CROSI,0,0,0,1,0,0,1
A9X4C8,A9X4C8_DEIAC,0,0,0,1,0,0,1
A9X4E1,A9X4E1_NAJNA,0,0,0,1,0,0,1
A9X4F4,A9X4F4_9SAUR,0,0,0,1,0,0,1
A9X4G7,A9X4G7_9SAUR,0,0,0,1,0,0,1
A9XF48,A9XF48_9AMPH,0,0,0,1,0,0,1
A9XHX1,A9XHX1_9LABR,0,0,0,1,0,0,1
A9XSC5,A9XSC5_9SAUR,0,0,0,1,0,0,1
A9WMK8,A9WMK8_RENSM,0,1,0,0,0,0,1
A9XSD8,A9XSD8_9SAUR,0,0,0,1,0,0,1
A9XSK3,A9XSK3_9SAUR,0,0,0,1,0,0,1
A9XSL7,A9XSL7_9SAUR,0,0,0,1,0,0,1
A9XSN1,A9XSN1_9SAUR,0,0,0,1,0,0,1
A9XTT1,A9XTT1_9SAUR,0,0,0,1,0,0,1
A9XTT2,A9XTT2_9SAUR,0,0,0,1,0,0,1
A9X1D9,A9X1D9_9TELE,0,0,0,1,0,0,1
A9WHC3,A9WHC3_CHLAA,0,1,0,0,0,0,1
A9NCP9,A9NCP9_COXBR,0,1,0,0,0,0,1
A9QZR0,A9QZR0_YERPG,0,1,0,0,0,0,1
A9NJ28,A9NJ28_LAMGU,0,0,0,1,0,0,1
A9NJ29,A9NJ29_LAMGL,0,0,0,1,0,0,1
A9NJ30,A9NJ30_VICPA,0,0,0,1,0,0,1
A9NJ31,A9NJ31_LAMVI,0,0,0,1,0,0,1
A9QSZ6,A9QSZ6_CHICK,0,0,0,1,0,0,1
A9QXH2,A9QXH2_PUNTE,0,0,0,1,0,0,1
A9RAH5,COX1_DEBHA,0,0,0,0,1,0,1
A9WF39,A9WF39_CHLAA,0,1,0,0,0,0,1
A9UJ19,A9UJ19_HYPMO,0,0,0,1,0,0,1
A9VEY3,A9VEY3_BACWK,0,1,0,0,0,0,1
A9VUA4,A9VUA4_BACWK,0,1,0,0,0,0,1
A9VX44,A9VX44_METEP,0,1,0,0,0,0,1
A9VYF1,A9VYF1_METEP,0,1,0,0,0,0,1
A9VZ93,A9VZ93_METEP,0,1,0,0,0,0,1
B1AA20,B1AA20_MEGAM,0,0,0,1,0,0,1
B1AC72,B1AC72_CANLU,0,0,0,1,0,0,1
B1HMQ0,B1HMQ0_LYSSC,0,1,0,0,0,0,1
B2BP76,B2BP76_SORAR,0,0,0,1,0,0,1
B2CGS8,B2CGS8_9TELE,0,0,0,1,0,0,1
B2CKI3,B2CKI3_9PLEU,0,0,0,1,0,0,1
B2CL10,B2CL10_9PASS,0,0,0,1,0,0,1
B2CL11,B2CL11_9PASS,0,0,0,1,0,0,1
B2CL12,B2CL12_9PASS,0,0,0,1,0,0,1
B2CL15,B2CL15_9PASS,0,0,0,1,0,0,1
B2CL19,B2CL19_9PASS,0,0,0,1,0,0,1
B2CL22,B2CL22_9PASS,0,0,0,1,0,0,1
B2CL23,B2CL23_9PASS,0,0,0,1,0,0,1
B2CL25,B2CL25_9PASS,0,0,0,1,0,0,1
B2CL27,B2CL27_9PASS,0,0,0,1,0,0,1
B2CL31,B2CL31_9PASS,0,0,0,1,0,0,1
B2CL35,B2CL35_9PASS,0,0,0,1,0,0,1
B2CL36,B2CL36_9PASS,0,0,0,1,0,0,1
B2CL47,B2CL47_9PASS,0,0,0,1,0,0,1
B2CFP8,B2CFP8_TROAE,0,0,0,1,0,0,1
B2CFN7,B2CFN7_9PASS,0,0,0,1,0,0,1
B2CFM7,B2CFM7_PSIMO,0,0,0,1,0,0,1
B2CC74,B2CC74_9TELE,0,0,0,1,0,0,1
B2BP85,B2BP85_SORCO,0,0,0,1,0,0,1
B2BP88,B2BP88_SORAN,0,0,0,1,0,0,1
B2BP92,B2BP92_SORSM,0,0,0,1,0,0,1
B2BP94,B2BP94_SORMI,0,0,0,1,0,0,1
B2CB36,B2CB36_HUMAN,0,0,0,1,0,0,1
B2CC36,B2CC36_9TELE,0,0,0,1,0,0,1
B2CC90,B2CC90_9TELE,0,0,0,1,0,0,1
B2CFM3,B2CFM3_9PICI,0,0,0,1,0,0,1
B2CFL4,B2CFL4_ICTPE,0,0,0,1,0,0,1
B2CFL5,B2CFL5_TYRME,0,0,0,1,0,0,1
B2CFL6,B2CFL6_9PASS,0,0,0,1,0,0,1
B2CFL8,B2CFL8_9TYRA,0,0,0,1,0,0,1
B2CFL9,B2CFL9_BUTVI,0,0,0,1,0,0,1
B2CFM2,B2CFM2_9DEND,0,0,0,1,0,0,1
B2CL52,B2CL52_ACTHY,0,0,0,1,0,0,1
B2CL58,B2CL58_AETCR,0,0,0,1,0,0,1
B2CL62,B2CL62_AETPY,0,0,0,1,0,0,1
B2CLB9,B2CLB9_EUDMI,0,0,0,1,0,0,1
B2CLA9,B2CLA9_CHLNG,0,0,0,1,0,0,1
B2CLB0,B2CLB0_CHLNG,0,0,0,1,0,0,1
B2CLB2,B2CLB2_EUDPA,0,0,0,1,0,0,1
B2CLB4,B2CLB4_9AVES,0,0,0,1,0,0,1
B2CLB7,B2CLB7_9AVES,0,0,0,1,0,0,1
B2CLB8,B2CLB8_EUDMI,0,0,0,1,0,0,1
B2CLC0,B2CLC0_EUDMI,0,0,0,1,0,0,1
B2CLA5,B2CLA5_CERMN,0,0,0,1,0,0,1
B2CLC1,B2CLC1_EUDMI,0,0,0,1,0,0,1
B2CLC2,B2CLC2_EUDMI,0,0,0,1,0,0,1
B2CLC4,B2CLC4_EUDMI,0,0,0,1,0,0,1
B2CLC6,B2CLC6_EUDMI,0,0,0,1,0,0,1
B2CLC8,B2CLC8_EUDMI,0,0,0,1,0,0,1
B2CLD1,B2CLD1_EUDMI,0,0,0,1,0,0,1
B2CLA8,B2CLA8_CHLLE,0,0,0,1,0,0,1
B2CLA4,B2CLA4_BUCCL,0,0,0,1,0,0,1
B2CL65,B2CL65_APTFO,0,0,0,1,0,0,1
B3LEG0,B3LEG0_9TELE,0,0,0,1,0,0,1
B2CL66,B2CL66_APTFO,0,0,0,1,0,0,1
B2CL67,B2CL67_APTFO,0,0,0,1,0,0,1
B2CL68,B2CL68_APTPA,0,0,0,1,0,0,1
B2CL69,B2CL69_APTPA,0,0,0,1,0,0,1
B2CL70,B2CL70_APTPA,0,0,0,1,0,0,1
B2CL71,B2CL71_APTPA,0,0,0,1,0,0,1
B2CL76,B2CL76_APTAU,0,0,0,1,0,0,1
B2CLA2,B2CLA2_BUBVI,0,0,0,1,0,0,1
B2CL77,B2CL77_APTAU,0,0,0,1,0,0,1
B2CL84,B2CL84_APTAU,0,0,0,1,0,0,1
B2CL90,B2CL90_9AVES,0,0,0,1,0,0,1
B2CL92,B2CL92_9AVES,0,0,0,1,0,0,1
B2CL93,B2CL93_BRABR,0,0,0,1,0,0,1
B2CL96,B2CL96_BRAMA,0,0,0,1,0,0,1
B2BP84,B2BP84_SORGA,0,0,0,1,0,0,1
B2BP72,B2BP72_SORAR,0,0,0,1,0,0,1
B1HPV2,B1HPV2_LYSSC,0,1,0,0,0,0,1
B2BJ94,B2BJ94_ARAGI,0,0,0,1,0,0,1
B1MJH6,B1MJH6_MYCA9,0,1,0,0,0,0,1
B1NTV9,B1NTV9_HUMAN,0,0,0,1,0,0,1
B1NUB5,B1NUB5_HUMAN,0,0,0,1,0,0,1
B1NUS1,B1NUS1_HUMAN,0,0,0,1,0,0,1
B1NVJ4,B1NVJ4_HUMAN,0,0,0,1,0,0,1
B1NZU1,B1NZU1_BOVIN,0,0,0,1,0,0,1
B1P0Q3,B1P0Q3_BISBI,0,0,0,1,0,0,1
B1PE53,B1PE53_CAEBR,0,0,0,0,1,0,1
B1PI08,B1PI08_HUMAN,0,0,0,1,0,0,1
B1PX55,B1PX55_9TELE,0,0,0,1,0,0,1
B1PX56,B1PX56_9TELE,0,0,0,1,0,0,1
B1PX57,B1PX57_9TELE,0,0,0,1,0,0,1
B1PX58,B1PX58_9TELE,0,0,0,1,0,0,1
B1PX59,B1PX59_9TELE,0,0,0,1,0,0,1
B1PX61,B1PX61_LUTSE,0,0,0,1,0,0,1
B1MDZ6,B1MDZ6_MYCA9,0,1,0,0,0,0,1
B1MBS7,B1MBS7_MYCA9,0,1,0,0,0,0,1
B1M9H9,B1M9H9_METRJ,0,1,0,0,0,0,1
B1JUK0,B1JUK0_BURCC,0,1,0,0,0,0,1
B1HVF1,B1HVF1_LYSSC,0,1,0,0,0,0,1
B1HVF2,B1HVF2_LYSSC,0,1,0,0,0,0,1
B1J018,B1J018_ECOLC,0,1,0,0,0,0,1
B1J4K5,B1J4K5_PSEPW,0,1,0,0,0,0,1
B1JEL7,B1JEL7_PSEPW,0,1,0,0,0,0,1
B1JHS9,B1JHS9_YERPY,0,1,0,0,0,0,1
B1JZ50,B1JZ50_BURCC,0,1,0,0,0,0,1
B1M7K2,B1M7K2_METRJ,0,1,0,0,0,0,1
B1KAL8,B1KAL8_BURCC,0,1,0,0,0,0,1
B1KM65,B1KM65_SHEWM,0,1,0,0,0,0,1
B1KQ75,B1KQ75_SHEWM,0,1,0,0,0,0,1
B1LJI5,B1LJI5_ECOSM,0,1,0,0,0,0,1
B1M0S6,B1M0S6_METRJ,0,1,0,0,0,0,1
B1M624,B1M624_METRJ,0,1,0,0,0,0,1
B1PX62,B1PX62_LUTSE,0,0,0,1,0,0,1
B1PX63,B1PX63_LUTER,0,0,0,1,0,0,1
B1PX65,B1PX65_LUTMA,0,0,0,1,0,0,1
B1YSM1,B1YSM1_BURA4,0,1,0,0,0,0,1
B1XS83,B1XS83_POLNS,0,1,0,0,0,0,1
B1Y6P5,B1Y6P5_LEPCP,0,1,0,0,0,0,1
B1Y7T0,B1Y7T0_LEPCP,0,1,0,0,0,0,1
B1YIW3,B1YIW3_EXIS2,0,1,0,0,0,0,1
B1YJP9,B1YJP9_EXIS2,0,1,0,0,0,0,1
B1YN95,B1YN95_BURA4,0,1,0,0,0,0,1
B1Z3R1,B1Z3R1_BURA4,0,1,0,0,0,0,1
B1X201,B1X201_CYAA5,0,1,0,0,0,0,1
B1Z4Q7,B1Z4Q7_BURA4,0,1,0,0,0,0,1
B1ZE60,B1ZE60_METPB,0,1,0,0,0,0,1
B1ZKN9,B1ZKN9_METPB,0,1,0,0,0,0,1
B1ZKV0,B1ZKV0_METPB,0,1,0,0,0,0,1
B1ZMS6,B1ZMS6_OPITP,0,1,0,0,0,0,1
B1ZVF1,B1ZVF1_OPITP,0,1,0,0,0,0,1
B1XFL9,B1XFL9_ECODH,0,1,0,0,0,0,1
B1WRL7,B1WRL7_CYAA5,0,1,0,0,0,0,1
B1PX66,B1PX66_LUTMA,0,0,0,1,0,0,1
B1Q2D7,B1Q2D7_SYRRE,0,0,0,1,0,0,1
B1PX67,B1PX67_LUTRU,0,0,0,1,0,0,1
B1PX69,B1PX69_9TELE,0,0,0,1,0,0,1
B1PX71,B1PX71_9TELE,0,0,0,1,0,0,1
B1PX73,B1PX73_LUTAR,0,0,0,1,0,0,1
B1PX75,B1PX75_9TELE,0,0,0,1,0,0,1
B1Q2D1,B1Q2D1_SYRSO,0,0,0,1,0,0,1
B1Q2F1,B1Q2F1_SYREL,0,0,0,1,0,0,1
B1W8A6,B1W8A6_HUMAN,0,0,0,1,0,0,1
B1Q2G4,B1Q2G4_SYRHU,0,0,0,1,0,0,1
B1Q2H7,B1Q2H7_PHAVE,0,0,0,1,0,0,1
B1Q2J0,B1Q2J0_LOPIG,0,0,0,1,0,0,1
B1VI54,B1VI54_CORU7,0,1,0,0,0,0,1
B1VQ44,B1VQ44_STRGG,0,1,0,0,0,0,1
B1VZQ7,B1VZQ7_STRGG,0,1,0,0,0,0,1
B3LEE7,B3LEE7_9TELE,0,0,0,1,0,0,1
B4XHS7,B4XHS7_EPICO,0,0,0,1,0,0,1
B3LEH3,B3LEH3_9TELE,0,0,0,1,0,0,1
B7U5D6,B7U5D6_9TELE,0,0,0,1,0,0,1
B7U5D0,B7U5D0_SPHPC,0,0,0,1,0,0,1
B7U5D1,B7U5D1_TAKNI,0,0,0,1,0,0,1
B7U5D2,B7U5D2_9TELE,0,0,0,1,0,0,1
B7U5D3,B7U5D3_TAKPA,0,0,0,1,0,0,1
B7U5D4,B7U5D4_9TELE,0,0,0,1,0,0,1
B7U5D5,B7U5D5_9TELE,0,0,0,1,0,0,1
B7U5D7,B7U5D7_9TELE,0,0,0,1,0,0,1
B7U5C8,B7U5C8_9TELE,0,0,0,1,0,0,1
B7U7Q3,B7U7Q3_9TELE,0,0,0,1,0,0,1
B7U7S9,B7U7S9_9TELE,0,0,0,1,0,0,1
B7U7V5,B7U7V5_FUNHE,0,0,0,1,0,0,1
B7U9H6,B7U9H6_9SAUR,0,0,0,1,0,0,1
B7U9I9,B7U9I9_PODMU,0,0,0,1,0,0,1
B7U9K3,B7U9K3_PODSI,0,0,0,1,0,0,1
B7U5C9,B7U5C9_9TELE,0,0,0,1,0,0,1
B7U5C7,B7U5C7_9TELE,0,0,0,1,0,0,1
B7ZHL0,B7ZHL0_9TELE,0,0,0,1,0,0,1
B7TWH6,B7TWH6_LEMCA,0,0,0,1,0,0,1
B7SNC6,B7SNC6_9GOBI,0,0,0,1,0,0,1
B7SNC7,B7SNC7_9GOBI,0,0,0,1,0,0,1
B7SNC8,B7SNC8_ZOSOP,0,0,0,1,0,0,1
B7TCT8,B7TCT8_HUMAN,0,0,0,1,0,0,1
B7TD03,B7TD03_HUMAN,0,0,0,1,0,0,1
B7TWH5,B7TWH5_CEREL,0,0,0,1,0,0,1
B7TWH7,B7TWH7_CERNI,0,0,0,1,0,0,1
B7U5C6,B7U5C6_9TELE,0,0,0,1,0,0,1
B7TX12,B7TX12_CASFI,0,0,0,1,0,0,1
B7TX13,B7TX13_DAMDA,0,0,0,1,0,0,1
B7TX17,B7TX17_LYNLY,0,0,0,1,0,0,1
B7TYB4,B7TYB4_ACYPI,0,0,0,0,1,0,1
B7U5C4,B7U5C4_AROHI,0,0,0,1,0,0,1
B7U5C5,B7U5C5_9TELE,0,0,0,1,0,0,1
B7UDV2,B7UDV2_SEBCA,0,0,0,1,0,0,1
B7UDV3,B7UDV3_9TELE,0,0,0,1,0,0,1
B7UDV4,B7UDV4_9TELE,0,0,0,1,0,0,1
B7ZH83,B7ZH83_9TELE,0,0,0,1,0,0,1
B7ZH07,B7ZH07_BALUN,0,0,0,1,0,0,1
B7ZH21,B7ZH21_BALVE,0,0,0,1,0,0,1
B7ZH31,B7ZH31_BALCO,0,0,0,1,0,0,1
B7ZH43,B7ZH43_CANMC,0,0,0,1,0,0,1
B7ZH63,B7ZH63_MELVD,0,0,0,1,0,0,1
B7ZH70,B7ZH70_ODONI,0,0,0,1,0,0,1
B7ZHA2,B7ZHA2_RHIAU,0,0,0,1,0,0,1
B7UDV5,B7UDV5_9TELE,0,0,0,1,0,0,1
B7ZHA9,B7ZHA9_XANAR,0,0,0,1,0,0,1
B7ZHC2,B7ZHC2_ACABW,0,0,0,1,0,0,1
B7ZHD8,B7ZHD8_9TELE,0,0,0,1,0,0,1
B7ZHE8,B7ZHE8_AMASC,0,0,0,1,0,0,1
B7ZHG1,B7ZHG1_BRAUL,0,0,0,1,0,0,1
B7ZHH4,B7ZHH4_9TELE,0,0,0,1,0,0,1
B7ZGZ2,B7ZGZ2_ABAST,0,0,0,1,0,0,1
B7XCE8,B7XCE8_9TELE,0,0,0,1,0,0,1
B7XCD5,B7XCD5_9TELE,0,0,0,1,0,0,1
B7XCC2,B7XCC2_9TELE,0,0,0,1,0,0,1
B7XCA9,B7XCA9_9TELE,0,0,0,1,0,0,1
B7XC96,B7XC96_9TELE,0,0,0,1,0,0,1
B7XC83,B7XC83_9TELE,0,0,0,1,0,0,1
B7X9G5,B7X9G5_9TELE,0,0,0,1,0,0,1
B7X9E1,B7X9E1_CARAU,0,0,0,1,0,0,1
B7VQY2,B7VQY2_VIBTL,0,1,0,0,0,0,1
B7VF41,B7VF41_TRICA,0,1,0,0,0,0,1
B7V223,B7V223_PSEA8,0,1,0,0,0,0,1
B7UVQ7,B7UVQ7_PSEA8,0,1,0,0,0,0,1
B7UJQ4,B7UJQ4_ECO27,0,1,0,0,0,0,1
B7UDV9,B7UDV9_9TELE,0,0,0,1,0,0,1
B7UDV7,B7UDV7_9TELE,0,0,0,1,0,0,1
B7UDV6,B7UDV6_9TELE,0,0,0,1,0,0,1
B7SNC5,B7SNC5_9GOBI,0,0,0,1,0,0,1
B7SNC4,B7SNC4_9GOBI,0,0,0,1,0,0,1
B7SNC2,B7SNC2_9GOBI,0,0,0,1,0,0,1
B7P670,B7P670_IXOSC,0,1,0,0,0,0,1
B7LME8,B7LME8_ESCF3,0,1,0,0,0,0,1
B7M3S3,B7M3S3_ECO8A,0,1,0,0,0,0,1
B7MD89,B7MD89_ECO45,0,1,0,0,0,0,1
B7MQE6,B7MQE6_ECO81,0,1,0,0,0,0,1
B7N8Y4,B7N8Y4_ECOLU,0,1,0,0,0,0,1
B7NJ63,B7NJ63_ECO7I,0,1,0,0,0,0,1
B7S652,B7S652_BROSU,0,0,0,1,0,0,1
B7S6G9,B7S6G9_CHAAF,0,0,0,1,0,0,1
B7S665,B7S665_KINFI,0,0,0,1,0,0,1
B7S678,B7S678_CHADI,0,0,0,1,0,0,1
B7S691,B7S691_CHAMO,0,0,0,1,0,0,1
B7S6A4,B7S6A4_CHAZE,0,0,0,1,0,0,1
B7S6B7,B7S6B7_CHACY,0,0,0,1,0,0,1
B7S6D0,B7S6D0_CHAAA,0,0,0,1,0,0,1
B7L668,B7L668_ECO55,0,1,0,0,0,0,1
B7L1M0,B7L1M0_METC4,0,1,0,0,0,0,1
B7KVJ8,B7KVJ8_METC4,0,1,0,0,0,0,1
B7KQT8,B7KQT8_METC4,0,1,0,0,0,0,1
B7KL73,B7KL73_CYAP7,0,1,0,0,0,0,1
B7KCJ1,B7KCJ1_CYAP7,0,1,0,0,0,0,1
B7JVT7,B7JVT7_CYAP8,0,1,0,0,0,0,1
B7JQI5,B7JQI5_BACC0,0,1,0,0,0,0,1
B7JK31,B7JK31_BACC0,0,1,0,0,0,0,1
B7JAQ3,B7JAQ3_ACIF2,0,1,0,0,0,0,1
B7J5S9,B7J5S9_ACIF2,0,1,0,0,0,0,1
B7IXW9,B7IXW9_BACC2,0,1,0,0,0,0,1
B7IVI0,B7IVI0_BACC2,0,1,0,0,0,0,1
B7IBB7,B7IBB7_ACIB5,0,1,0,0,0,0,1
B7HWC3,B7HWC3_BACC7,0,1,0,0,0,0,1
B7HMC7,B7HMC7_BACC7,0,1,0,0,0,0,1
B7HDC2,B7HDC2_BACC4,0,1,0,0,0,0,1
B7S6F6,B7S6F6_CHACF,0,0,0,1,0,0,1
B7S6I2,B7S6I2_CHACM,0,0,0,1,0,0,1
B7SNC1,B7SNC1_9GOBI,0,0,0,1,0,0,1
B7SMZ9,B7SMZ9_ANGFR,0,0,0,1,0,0,1
B7SLR8,B7SLR8_9AVES,0,0,0,1,0,0,1
B7SLT1,B7SLT1_GEOCA,0,0,0,1,0,0,1
B7SLU4,B7SLU4_9AVES,0,0,0,1,0,0,1
B7SLV7,B7SLV7_TROVI,0,0,0,1,0,0,1
B7SLX0,B7SLX0_TYTAL,0,0,0,1,0,0,1
B7SMY6,B7SMY6_TARMA,0,0,0,1,0,0,1
B7SN12,B7SN12_BLACI,0,0,0,1,0,0,1
B7S6J5,B7S6J5_CHACM,0,0,0,1,0,0,1
B7SNA3,B7SNA3_9GOBI,0,0,0,1,0,0,1
B7SNA4,B7SNA4_9GOBI,0,0,0,1,0,0,1
B7SNA5,B7SNA5_9GOBI,0,0,0,1,0,0,1
B7SNB1,B7SNB1_9GOBI,0,0,0,1,0,0,1
B7SNB3,B7SNB3_9GOBI,0,0,0,1,0,0,1
B7SNB8,B7SNB8_9GOBI,0,0,0,1,0,0,1
B7SLQ5,B7SLQ5_AGARS,0,0,0,1,0,0,1
B7SKU9,B7SKU9_LARCR,0,0,0,1,0,0,1
B7SEC8,B7SEC8_RATTA,0,0,0,1,0,0,1
B7SE89,B7SE89_RATEX,0,0,0,1,0,0,1
B7SE76,B7SE76_9MURI,0,0,0,1,0,0,1
B7SE63,B7SE63_RATRT,0,0,0,1,0,0,1
B7SAN7,B7SAN7_9SAUR,0,0,0,1,0,0,1
B7SAN6,B7SAN6_9SAUR,0,0,0,1,0,0,1
B7SAM0,B7SAM0_9SAUR,0,0,0,1,0,0,1
B7SAL8,B7SAL8_9SAUR,0,0,0,1,0,0,1
B7SAK6,B7SAK6_9SAUR,0,0,0,1,0,0,1
B7SAK5,B7SAK5_9SAUR,0,0,0,1,0,0,1
B7SAG7,B7SAG7_9SAUR,0,0,0,1,0,0,1
B7SAG5,B7SAG5_9SAUR,0,0,0,1,0,0,1
B7SAF1,B7SAF1_9SAUR,0,0,0,1,0,0,1
B7S718,B7S718_9SAUR,0,0,0,1,0,0,1
B7S6K8,B7S6K8_CHACM,0,0,0,1,0,0,1
B7ZHI7,B7ZHI7_9TELE,0,0,0,1,0,0,1
B7ZHM6,B7ZHM6_9TELE,0,0,0,1,0,0,1
B7H0K4,B7H0K4_ACIB3,0,1,0,0,0,0,1
B8Q7D6,B8Q7D6_9TELE,0,0,0,1,0,0,1
B8Q7C9,B8Q7C9_9TELE,0,0,0,1,0,0,1
B8Q7D0,B8Q7D0_SYNVA,0,0,0,1,0,0,1
B8Q7D1,B8Q7D1_SYNIN,0,0,0,1,0,0,1
B8Q7D2,B8Q7D2_9TELE,0,0,0,1,0,0,1
B8Q7D4,B8Q7D4_9TELE,0,0,0,1,0,0,1
B8Q7D5,B8Q7D5_DIPTA,0,0,0,1,0,0,1
B8Q7D7,B8Q7D7_9TELE,0,0,0,1,0,0,1
B8Q7C7,B8Q7C7_9TELE,0,0,0,1,0,0,1
B8Q7D8,B8Q7D8_9TELE,0,0,0,1,0,0,1
B8Q7D9,B8Q7D9_METMU,0,0,0,1,0,0,1
B8QGW1,B8QGW1_9CHON,0,0,0,1,0,0,1
B8QQI1,B8QQI1_NOTFU,0,0,0,1,0,0,1
B8QZJ8,B8QZJ8_9TELE,0,0,0,1,0,0,1
B8QZK0,B8QZK0_LYCTO,0,0,0,1,0,0,1
B8Q7C8,B8Q7C8_9TELE,0,0,0,1,0,0,1
B8Q7C6,B8Q7C6_9TELE,0,0,0,1,0,0,1
B7ZHN9,B7ZHN9_9TELE,0,0,0,1,0,0,1
B8Q7B7,B8Q7B7_9TELE,0,0,0,1,0,0,1
B8Q7B1,B8Q7B1_9TELE,0,0,0,1,0,0,1
B8Q7B2,B8Q7B2_HARMI,0,0,0,1,0,0,1
B8Q7B3,B8Q7B3_9TELE,0,0,0,1,0,0,1
B8Q7B4,B8Q7B4_9TELE,0,0,0,1,0,0,1
B8Q7B5,B8Q7B5_9TELE,0,0,0,1,0,0,1
B8Q7B6,B8Q7B6_9TELE,0,0,0,1,0,0,1
B8Q7B8,B8Q7B8_9TELE,0,0,0,1,0,0,1
B8Q7C5,B8Q7C5_9TELE,0,0,0,1,0,0,1
B8Q7B9,B8Q7B9_9TELE,0,0,0,1,0,0,1
B8Q7C0,B8Q7C0_9TELE,0,0,0,1,0,0,1
B8Q7C1,B8Q7C1_9TELE,0,0,0,1,0,0,1
B8Q7C2,B8Q7C2_9TELE,0,0,0,1,0,0,1
B8Q7C3,B8Q7C3_9TELE,0,0,0,1,0,0,1
B8Q7C4,B8Q7C4_9TELE,0,0,0,1,0,0,1
B8QZK3,B8QZK3_LYCTO,0,0,0,1,0,0,1
B8QZK7,B8QZK7_LYCTO,0,0,0,1,0,0,1
B8QZL0,B8QZL0_9TELE,0,0,0,1,0,0,1
B8R732,B8R732_PARLB,0,0,0,1,0,0,1
B8R6V4,B8R6V4_9SALA,0,0,0,1,0,0,1
B8R6W7,B8R6W7_9SALA,0,0,0,1,0,0,1
B8R6Y0,B8R6Y0_9SALA,0,0,0,1,0,0,1
B8R6Z3,B8R6Z3_9SALA,0,0,0,1,0,0,1
B8R706,B8R706_NOTVI,0,0,0,1,0,0,1
B8R719,B8R719_9SALA,0,0,0,1,0,0,1
